Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_cation,CationSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites,Reduced Formula
Se,78.97,190.0,2.55,9.752,2.021,28.9,4.98155871668983,9.96311743337966,0.5,0.5,0.009963117433379659,0.00024383805515049723,0.24383805515049722,Fm-3m,225,2,MgSe
I,126.9045,198.0,2.66,10.451,3.059,32.9,8.697840042310762,8.7562148076954,0.9933333333333333,0.006666666666666667,1.3046760063466145,0.00038105940660547943,0.38105940660547943,P-6m2,187,150,Mg149I
Te,127.6,206.0,2.1,9.01,1.971,38.0,5.753278182690475,11.50655636538095,0.5,0.5,0.01150655636538095,0.00021804849947413185,0.21804849947413185,P6_3/mmc,194,4,MgTe
Mg,24.305,173.0,1.31,7.646,,71.2,12.806931894871601,25.613863789743203,0.5,0.5,0.025613863789743202,0.00039732412748571047,0.39732412748571044,Amm2,38,12,CaMg
O,15.999,152.0,3.44,13.618,1.461,5.3,2.029394941998042,4.058789883996084,0.5,0.5,0.004058789883996084,0.00012988867028844328,0.12988867028844328,C2/c,15,24,MgO
F,18.99840316,135.0,3.98,17.423,3.339,3.74,0.8014002164890415,2.4042006494671244,0.3333333333333333,0.6666666666666666,0.0012021003247335623,4.432270792728154e-05,0.04432270792728154,C2/m,12,6,MgF2
Tl,204.383,196.0,1.62,6.108,0.2,66.0,8.917895361418099,8.977747008139026,0.9933333333333333,0.006666666666666667,1.337684304212715,0.0003919285964824518,0.3919285964824518,P-6m2,187,150,Mg149Tl
B,10.81,192.0,2.04,8.298,0.277,20.5,5.372787346265224,26.863936731326124,0.2,0.8,0.006715984182831531,0.000605341679003209,0.605341679003209,Pnma,62,20,MgB4
Fe,55.84,194.0,1.83,7.902,0.163,62.0,9.75306584187893,9.81852265960966,0.9933333333333333,0.006666666666666667,1.4629598762818397,0.0004242037246304339,0.4242037246304339,P-6m2,187,150,Mg149Fe
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,10.19707341032567,10.265510144623157,0.9933333333333333,0.006666666666666667,1.5295610115488505,0.00044609914600735365,0.4460991460073537,P-6m2,187,150,Mg149Rh
F,18.99840316,135.0,3.98,17.423,3.339,3.74,0.7688094659777082,2.3064283979331246,0.3333333333333333,0.6666666666666666,0.0011532141989665623,4.163498590471197e-05,0.04163498590471197,Imma,74,6,MgF2
Mg,24.305,173.0,1.31,7.646,,71.2,12.157336574256481,24.314673148512963,0.5,0.5,0.024314673148512964,0.00038634231261483936,0.38634231261483937,Amm2,38,12,CaMg
O,15.999,152.0,3.44,13.618,1.461,5.3,2.7603960962908816,5.520792192581763,0.5,0.5,0.005520792192581763,0.00023234447497847636,0.23234447497847635,P6_3mc,186,8,MgO
Mg,24.305,173.0,1.31,7.646,,71.2,11.812838341223978,23.625676682447956,0.5,0.5,0.023625676682447957,0.00037748857084606794,0.37748857084606796,Amm2,38,12,CaMg
P,30.973762,180.0,2.19,10.487,0.746,25.0,2.2288820069922246,11.144410034961123,0.2,0.8,0.0027861025087402807,0.00011327303274225675,0.11327303274225675,P2_1/c,14,10,MgP4
H,1.008,120.0,2.2,13.598,0.754,4.50711,4.863793996033613,14.591381988100839,0.3333333333333333,0.6666666666666666,0.00729569099405042,0.0005313225121680487,0.5313225121680487,Pa-3,205,12,MgH2
Se,78.97,190.0,2.55,9.752,2.021,28.9,2.8273242703192074,5.654648540638415,0.5,0.5,0.005654648540638415,0.00010803805546148946,0.10803805546148945,F-43m,216,2,MgSe
P,30.973762,180.0,2.19,10.487,0.746,25.0,5.20551904573343,8.675865076222385,0.6,0.4,0.013013797614333576,0.00023807653041332683,0.23807653041332683,Pn-3m,224,10,Mg3P2
Mg,24.305,173.0,1.31,7.646,,71.2,13.091058883016316,39.273176649048956,0.3333333333333333,0.3333333333333333,0.03927317664904895,0.00036884728390313055,0.36884728390313054,Amm2,38,12,Ca2Mg
Mg,24.305,173.0,1.31,7.646,,71.2,7.429554030560189,8.915464836672227,0.8333333333333334,0.8333333333333334,0.008915464836672226,0.0003060649942011518,0.3060649942011518,Amm2,38,12,CeMg5
O,15.999,152.0,3.44,13.618,1.461,5.3,3.6996997760219372,7.3993995520438745,0.5,0.5,0.007399399552043874,0.0003813685151855232,0.38136851518552317,R-3m,166,16,MgO
Bi,208.9804,207.0,2.02,7.289,0.946,53.0,9.56052559759249,9.624690198918614,0.9933333333333333,0.006666666666666667,1.4340788396388735,0.00041401893575237684,0.41401893575237686,P-6m2,187,150,Mg149Bi
Zr,91.22,186.0,1.33,6.634,0.426,112.0,8.852929081291418,8.912344712709482,0.9933333333333333,0.006666666666666667,1.3279393621937126,0.0003878737756150858,0.3878737756150858,P-6m2,187,150,Mg149Zr
Ta,180.9479,217.0,1.5,7.89,0.322,74.0,10.025865015071368,10.093152699736278,0.9933333333333333,0.006666666666666667,1.5038797522607052,0.0004373933109191754,0.4373933109191754,P-6m2,187,150,Mg149Ta
F,18.99840316,135.0,3.98,17.423,3.339,3.74,1.6816203291353085,5.044860987405925,0.3333333333333333,0.6666666666666666,0.0025224304937029626,0.00014838425479421968,0.14838425479421968,Pnnm,58,6,MgF2
