Symbol,Structure,Total Sites,Cation Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Cation Sites,Diff per Counter Ion Sites,Volume,mid,Composition
Ga,Li1 Ga3,4,1.0,3.0,0.03918776510602743,0.009796941276506857,0.03918776510602743,0.01306258836867581,64.45201316399191,1185332,Li1 Ga3
Cu,Li2 Cu6,8,2.0,6.0,0.0918467394102991,0.011480842426287387,0.04592336970514955,0.015307789901716516,92.57459317452171,1185338,Li2 Cu6
Ag,Li1 Ag1,2,1.0,1.0,0.019932766477051576,0.009966383238525788,0.019932766477051576,0.019932766477051576,30.4514247136979,2426,Li1 Ag1
Pd,Li3 Pd1,4,3.0,1.0,0.058926871302857065,0.014731717825714266,0.019642290434285687,0.058926871302857065,57.59275325419002,11489,Li3 Pd1
In,Li3 In1,4,3.0,1.0,0.06466799718297456,0.01616699929574364,0.02155599906099152,0.06466799718297456,73.2209111210879,976055,Li3 In1
Pr,Li1 Pr3,4,1.0,3.0,0.12498494899617481,0.031246237249043702,0.12498494899617481,0.041661649665391605,130.29076359288464,1185406,Li1 Pr3
Mg,Li3 Mg3,6,3.0,3.0,0.073201188805551,0.0122001981342585,0.024400396268517,0.024400396268517,121.38507603211285,976244,Li3 Mg3
Ce,Li1 Ce3,4,1.0,3.0,0.009662032594708457,0.0024155081486771143,0.009662032594708457,0.003220677531569486,106.3529205410544,1185343,Li1 Ce3
Sb,Li27 Sb10,37,27.0,10.0,0.4231309957114472,0.01143597285706614,0.01567151835968323,0.04231309957114472,689.5563281273738,676024,Li27 Sb10
Cd,Li8 Cd4,12,8.0,4.0,0.13448308025760602,0.011206923354800502,0.016810385032200753,0.033620770064401506,256.89951590810074,1210799,Li8 Cd4
Al,Li3 Al2,5,3.0,2.0,0.06808297036637072,0.013616594073274143,0.022694323455456907,0.03404148518318536,80.12847305120475,16506,Li3 Al2
P,Li6 P2,8,6.0,2.0,0.09158557003700044,0.011448196254625054,0.015264261672833406,0.04579278501850022,116.35462953903664,736,Li6 P2
Na,Na1 Li3,4,3.0,3.0,0.06995023629039832,0.01748755907259958,0.023316745430132773,0.023316745430132773,99.71378404764955,1186151,Na1 Li3
Al,Li8 Al4,12,8.0,4.0,0.17407391345762185,0.01450615945480182,0.02175923918220273,0.04351847836440546,223.88033294010748,1210792,Li8 Al4
S,Li2 S1,3,2.0,1.0,0.03072552118696842,0.01024184039565614,0.01536276059348421,0.03072552118696842,45.57916021826063,1153,Li2 S1
Mg,Li1 Mg3,4,1.0,3.0,0.05041710419380577,0.012604276048451442,0.05041710419380577,0.016805701397935257,86.60672258400483,1094596,Li1 Mg3
Tc,Li3 Tc1,4,3.0,1.0,0.0693703856982125,0.017342596424553124,0.023123461899404164,0.0693703856982125,58.44783628607037,977230,Li3 Tc1
Ca,Li3 Ca1,4,3.0,1.0,0.06095849068520941,0.015239622671302352,0.020319496895069802,0.06095849068520941,106.42290134759575,976075,Li3 Ca1
In,Li1 In3,4,1.0,3.0,0.03225460001537148,0.00806365000384287,0.03225460001537148,0.01075153333845716,90.6913224436497,863027,Li1 In3
Si,Li28 Si8,36,28.0,8.0,0.3695603283670007,0.010265564676861131,0.01319858315596431,0.04619504104587509,530.1944234102621,27930,Li28 Si8
Rb,Rb3 Li1,4,1.0,1.0,0.03553308713901733,0.008883271784754333,0.03553308713901733,0.03553308713901733,278.5807033002797,974959,Rb3 Li1
K,K3 Li1,4,1.0,1.0,0.04143514029040246,0.010358785072600615,0.04143514029040246,0.04143514029040246,232.18839425281092,1184918,K3 Li1
Pb,Li40 Pb12,52,40.0,12.0,0.5591753846591296,0.010753372781906339,0.013979384616478241,0.04659794872159414,1033.381196088248,504760,Li40 Pb12
C,Li3 C1,4,3.0,1.0,0.044563558002758005,0.011140889500689501,0.014854519334252669,0.044563558002758005,36.797187993604666,976060,Li3 C1
Rb,Rb3 Li1,4,1.0,1.0,0.03592468194263336,0.00898117048565834,0.03592468194263336,0.03592468194263336,273.1354443231789,974950,Rb3 Li1
C,Li2 C24,26,2.0,24.0,0.022213266280062725,0.0008543563953870279,0.011106633140031363,0.0009255527616692802,226.46157545523334,1232339,Li2 C24
Sn,Li5 Sn2,7,5.0,2.0,0.07437888783380064,0.010625555404828664,0.014875777566760128,0.03718944391690032,125.67038166620772,30766,Li5 Sn2
Lu,Li2 Lu6,8,2.0,6.0,0.03161739314212664,0.00395217414276583,0.01580869657106332,0.005269565523687773,219.3089100868737,973493,Li2 Lu6
Ca,Li4 Ca2,6,4.0,2.0,0.10169597863230698,0.01694932977205116,0.025423994658076744,0.05084798931615349,169.7964379880642,11644,Li4 Ca2
Mg,Li3 Mg3,6,3.0,3.0,0.07843825107842659,0.013073041846404431,0.026146083692808863,0.026146083692808863,125.39268276385947,1094594,Li3 Mg3
Fe,Li2 Fe2,4,2.0,2.0,0.06339758257655004,0.01584939564413751,0.03169879128827502,0.03169879128827502,49.05760100738144,1211097,Li2 Fe2
Rh,Li3 Rh1,4,3.0,1.0,0.06746008143448151,0.016865020358620378,0.022486693811493836,0.06746008143448151,53.00237877402052,1185235,Li3 Rh1
Tl,Li1 Tl3,4,1.0,3.0,0.03310413878547834,0.008276034696369585,0.03310413878547834,0.01103471292849278,104.50478109551393,1185253,Li1 Tl3
Yb,Li1 Yb3,4,1.0,3.0,0.06490529529722452,0.01622632382430613,0.06490529529722452,0.021635098432408174,107.66541598642071,980190,Li1 Yb3
Au,Li2 Au6,8,2.0,6.0,0.015068574931235437,0.0018835718664044297,0.007534287465617719,0.002511429155205906,130.96810201127914,1185333,Li2 Au6
Sr,Sr12 Li8,20,8.0,8.0,0.260891180806026,0.013044559040301301,0.03261139760075325,0.03261139760075325,843.5533629319194,7507,Sr12 Li8
B,Li2 B2,4,2.0,2.0,0.046356718820568105,0.011589179705142026,0.023178359410284052,0.023178359410284052,43.10125207983942,1001835,Li2 B2
Nb,Li3 Nb1,4,3.0,1.0,0.06765632994945422,0.016914082487363556,0.022552109983151408,0.06765632994945422,70.47017439261658,976263,Li3 Nb1
Hg,Li1 Hg1,2,1.0,1.0,0.00814413562596724,0.00407206781298362,0.00814413562596724,0.00814413562596724,35.98053073754308,2012,Li1 Hg1
Ge,Li96 Ge56,152,96.0,56.0,1.39317237497905,0.00916560773012533,0.014512212239365106,0.024878078124625894,2597.9881032387934,1212365,Li96 Ge56
Hf,Li1 Hf1,2,1.0,1.0,0.024150599540994685,0.012075299770497342,0.024150599540994685,0.024150599540994685,41.437991548076944,973948,Li1 Hf1
Si,Li96 Si56,152,96.0,56.0,1.5641216566123695,0.010290274056660326,0.016292933923045514,0.027930743868078027,2396.023113748043,1314,Li96 Si56
Mg,Li4 Mg2,6,4.0,2.0,0.08149050582009199,0.01358175097001533,0.020372626455022996,0.04074525291004599,123.86164937640869,1094562,Li4 Mg2
Si,Li88 Si20,108,88.0,20.0,1.4290904131477276,0.013232318640256736,0.01623966378576963,0.07145452065738638,1620.391827398594,542598,Li88 Si20
Zr,Li3 Zr1,4,3.0,1.0,0.08647426655833004,0.02161856663958251,0.028824755519443346,0.08647426655833004,74.91145451093603,1185295,Li3 Zr1
Tl,Li12 Tl12,24,12.0,12.0,0.2788506937631812,0.011618778906799217,0.023237557813598434,0.023237557813598434,542.0051754919375,1237690,Li12 Tl12
Zn,Li2 Zn6,8,2.0,6.0,0.06957527243826059,0.008696909054782574,0.034787636219130294,0.011595878739710097,110.21239561191713,975799,Li2 Zn6
Mg,Li3 Mg3,6,3.0,3.0,0.09247759850014822,0.015412933083358038,0.030825866166716075,0.030825866166716075,127.44673830007154,1094592,Li3 Mg3
Al,Li12 Al12,24,12.0,12.0,0.2935149249981909,0.012229788541591286,0.02445957708318257,0.02445957708318257,463.63267132814764,1191737,Li12 Al12
Hg,Li3 Hg1,4,3.0,1.0,0.046921426534375706,0.011730356633593926,0.015640475511458567,0.046921426534375706,68.20151172022211,1646,Li3 Hg1
Fe,Li6 Fe2,8,6.0,2.0,0.14413592567094233,0.01801699070886779,0.024022654278490388,0.07206796283547116,122.70955841800681,1185215,Li6 Fe2
Mg,Li2 Mg2,4,2.0,2.0,0.0516190809146876,0.0129047702286719,0.0258095404573438,0.0258095404573438,83.81228848677249,1094568,Li2 Mg2
Mg,Li4 Mg2,6,4.0,2.0,0.08925071274456031,0.014875118790760053,0.022312678186140078,0.044625356372280156,119.7639156201487,976982,Li4 Mg2
Mg,Li1 Mg1,2,1.0,1.0,0.032559258690333444,0.016279629345166722,0.032559258690333444,0.032559258690333444,39.837905119882265,1094889,Li1 Mg1
Pt,Li2 Pt1,3,2.0,1.0,0.030991125850636396,0.010330375283545466,0.015495562925318198,0.030991125850636396,39.83539112038689,2170,Li2 Pt1
S,Li4 S4,8,4.0,4.0,0.03756050312860497,0.004695062891075621,0.009390125782151242,0.009390125782151242,159.5320242993703,1180520,Li4 S4
Tl,Li4 Tl2,6,4.0,2.0,0.088024142715412,0.014670690452568665,0.022006035678853,0.044012071357706,112.89995824366945,1077191,Li4 Tl2
Cd,Li3 Cd1,4,3.0,1.0,0.05383005940405157,0.013457514851012892,0.017943353134683857,0.05383005940405157,72.49557831711745,975904,Li3 Cd1
Mg,Li2 Mg4,6,2.0,4.0,0.08587948654083,0.014313247756805,0.042939743270415,0.0214698716352075,127.89328779243627,973374,Li2 Mg4
Ca,Li1 Ca3,4,1.0,3.0,0.05919814053490899,0.014799535133727247,0.05919814053490899,0.01973271351163633,150.26254439498672,976272,Li1 Ca3
In,Li3 In2,5,3.0,2.0,0.06639789060417674,0.013279578120835347,0.022132630201392247,0.03319894530208837,94.25414149683813,21293,Li3 In2
Tm,Li2 Tm6,8,2.0,6.0,0.058687721801754966,0.007335965225219371,0.029343860900877483,0.00978128696695916,225.06090188407242,975649,Li2 Tm6
In,Li4 In8,12,4.0,8.0,0.08995902807914406,0.007496585673262005,0.022489757019786016,0.011244878509893008,288.92958674155193,1210993,Li4 In8
Cu,Li1 Cu3,4,1.0,3.0,0.044914020933404124,0.011228505233351031,0.044914020933404124,0.014971340311134708,46.50699826529992,974058,Li1 Cu3
O,Li1 O2,3,1.0,2.0,0.015080688313253206,0.005026896104417735,0.015080688313253206,0.007540344156626603,28.89486203085684,1094129,Li1 O2
Sn,Li3 Sn1,4,3.0,1.0,0.04606908333214737,0.011517270833036842,0.01535636111071579,0.04606908333214737,70.05174256558853,1185265,Li3 Sn1
Ag,Li18 Ag8,26,18.0,8.0,0.34503325101571375,0.013270509654450528,0.01916851394531743,0.04312915637696422,450.3310613493726,1222549,Li18 Ag8
Au,Li3 Au1,4,3.0,1.0,0.043402253233224594,0.010850563308306149,0.014467417744408198,0.043402253233224594,59.97046543894787,11247,Li3 Au1
Mg,Li2 Mg2,4,2.0,2.0,0.0471825103588764,0.0117956275897191,0.0235912551794382,0.0235912551794382,82.53854259392624,1094675,Li2 Mg2
Zn,Li1 Zn3,4,1.0,3.0,0.039729598771741474,0.009932399692935369,0.039729598771741474,0.013243199590580491,54.602229153021156,865907,Li1 Zn3
Hg,Li1 Hg3,4,1.0,3.0,0.002126555248208234,0.0005316388120520585,0.002126555248208234,0.0007088517494027446,86.7791787374413,976599,Li1 Hg3
Hf,Li16 Hf6,22,16.0,6.0,0.23003601789431094,0.010456182631559589,0.014377251118394434,0.03833933631571849,595.9608124139303,1190933,Li16 Hf6
Ag,Li2 Ag6,8,2.0,6.0,0.05298234223496122,0.006622792779370152,0.02649117111748061,0.008830390372493536,132.9604745120181,1185342,Li2 Ag6
