Symbol,Structure,Total Sites,Cation Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Cation Sites,Diff per Counter Ion Sites,Volume,mid,Composition
Be,Mn4 Be8,12,4.0,8.0,0.2262607132572886,0.018855059438107384,0.05656517831432215,0.028282589157161076,102.89541089427775,11270,Mn4 Be8
O,Mn7 O12,19,7.0,12.0,0.052369690341576305,0.0027562994916619107,0.0074813843345109005,0.004364140861798025,188.3746630735144,754430,Mn7 O12
Pd,Mn1 Pd1,2,1.0,1.0,0.06260366958815933,0.031301834794079664,0.06260366958815933,0.06260366958815933,30.083860504773863,1902,Mn1 Pd1
Si,Mn30 Si52,82,30.0,52.0,0.4880326585225506,0.005951617786860373,0.01626775528408502,0.009385243433125974,983.5051687524578,752,Mn30 Si52
O,Mn1 O1,2,1.0,1.0,0.01905841951314376,0.00952920975657188,0.01905841951314376,0.01905841951314376,28.674460028927943,1238899,Mn1 O1
Au,Mn9 Au31,40,9.0,31.0,0.2871850907044502,0.007179627267611255,0.031909454522716686,0.009264035184014523,673.1940005143092,30411,Mn9 Au31
Ta,Ta4 Mn8,12,8.0,8.0,0.18497136536401723,0.015414280447001437,0.023121420670502154,0.023121420670502154,167.09718096019182,12678,Ta4 Mn8
B,Mn8 B8,16,8.0,8.0,0.11050728058811773,0.006906705036757358,0.013813410073514717,0.013813410073514717,181.53992133979494,616575,Mn8 B8
F,Mn6 F18,24,6.0,18.0,0.020401581817433956,0.0008500659090597482,0.0034002636362389926,0.0011334212120796643,299.092042206228,766789,Mn6 F18
Te,Mn4 Te4,8,4.0,4.0,0.006575243859821486,0.0008219054824776858,0.0016438109649553716,0.0016438109649553716,203.35344505081284,1079443,Mn4 Te4
P,Mn2 P2,4,2.0,2.0,0.015328920534405724,0.003832230133601431,0.007664460267202862,0.007664460267202862,51.851773102697486,999516,Mn2 P2
H,Mn29 H2,31,29.0,2.0,0.5661456907558066,0.018262764217929245,0.019522265198476087,0.2830728453779033,324.8348643614986,1222194,Mn29 H2
S,Mn2 S4,6,2.0,4.0,0.0022215937698592467,0.00037026562830987444,0.0011107968849296233,0.0005553984424648117,84.69653534317291,1018804,Mn2 S4
Sb,Mn3 Sb2,5,3.0,2.0,0.07628732930594107,0.015257465861188212,0.025429109768647023,0.03814366465297053,86.73981267391426,1221705,Mn3 Sb2
Pd,Mn2 Pd2,4,2.0,2.0,0.12333572046088215,0.030833930115220537,0.061667860230441074,0.061667860230441074,60.225614553056424,238,Mn2 Pd2
O,Mn2 O4,6,2.0,4.0,0.013867900726280417,0.0023113167877134026,0.006933950363140208,0.003466975181570104,55.51718725225747,510408,Mn2 O4
Au,Mn2 Au6,8,2.0,6.0,0.06964919112205628,0.008706148890257035,0.03482459556102814,0.011608198520342713,136.62110410330985,1186010,Mn2 Au6
As,Mn4 As4,8,4.0,4.0,0.0513920732780183,0.006424009159752287,0.012848018319504575,0.012848018319504575,114.79178888528295,22240,Mn4 As4
O,Mn8 O16,24,8.0,16.0,0.05016299025445825,0.0020901245939357604,0.006270373781807281,0.0031351868909036407,245.47942811705704,1354190,Mn8 O16
Au,Mn1 Au4,5,1.0,4.0,0.03187688584462381,0.006375377168924762,0.03187688584462381,0.007969221461155952,88.71412235776897,1221711,Mn1 Au4
Er,Er4 Mn8,12,8.0,8.0,0.3536295937207098,0.02946913281005915,0.044203699215088724,0.044203699215088724,191.12918366456282,1095567,Er4 Mn8
O,Mn4 O8,12,4.0,8.0,0.02614560090527157,0.0021788000754392974,0.006536400226317893,0.0032682001131589464,134.7666025126056,19395,Mn4 O8
F,Mn4 F8,12,4.0,8.0,0.049265640525084156,0.004105470043757013,0.012316410131271039,0.0061582050656355195,146.8739872869089,615138,Mn4 F8
O,Mn32 O48,80,32.0,48.0,0.33044795794279275,0.0041305994742849095,0.010326498685712273,0.0068843324571415156,889.1007007723838,1172875,Mn32 O48
F,Mn8 F32,40,8.0,32.0,0.009805661555613215,0.0002451415388903304,0.001225707694451652,0.000306426923612913,470.44652008363835,541103,Mn8 F32
Si,Mn16 Si28,44,16.0,28.0,0.30599259367247916,0.006954377128919981,0.019124537104529948,0.010928306916874256,510.61957027405396,680339,Mn16 Si28
Ge,Mn10 Ge6,16,10.0,6.0,0.22013983134513165,0.013758739459070728,0.022013983134513165,0.03668997189085527,224.44004746946416,617291,Mn10 Ge6
Be,Mn6 Be2,8,6.0,2.0,0.12584754405267,0.01573094300658375,0.020974590675445003,0.062923772026335,80.16928081976644,974571,Mn6 Be2
C,Mn28 C12,40,28.0,12.0,0.5241712977824259,0.013104282444560647,0.018720403492229497,0.043680941481868824,355.48977225851394,21256,Mn28 C12
Ir,Mn2 Ir2,4,2.0,2.0,0.10405113165318111,0.026012782913295278,0.052025565826590556,0.052025565826590556,55.7622632918511,1537768,Mn2 Ir2
Er,Er2 Mn4,6,4.0,4.0,0.13810120148822727,0.023016866914704545,0.03452530037205682,0.03452530037205682,92.497280715474,571090,Er2 Mn4
O,Mn2 O8,10,2.0,8.0,0.037144044955060206,0.0037144044955060205,0.018572022477530103,0.004643005619382526,163.78009656666794,1221594,Mn2 O8
F,Mn4 F8,12,4.0,8.0,0.05156593957990599,0.004297161631658833,0.012891484894976497,0.006445742447488249,137.7970533256237,2012783,Mn4 F8
As,Mn6 As4,10,6.0,4.0,0.14971164042872998,0.014971164042872997,0.024951940071454997,0.037427910107182494,145.50705996577634,28916,Mn6 As4
F,Mn2 F8,10,2.0,8.0,0.018422725977920787,0.0018422725977920787,0.009211362988960393,0.0023028407472400984,151.48782711683785,1385977,Mn2 F8
O,Mn8 O12,20,8.0,12.0,0.09357225229514032,0.0046786126147570165,0.01169653153689254,0.007797687691261694,239.28969119930142,1043363,Mn8 O12
S,Mn1 S2,3,1.0,2.0,0.0008218526197321403,0.00027395087324404675,0.0008218526197321403,0.00041092630986607013,63.910474864168165,1422029,Mn1 S2
Pt,Mn6 Pt2,8,6.0,2.0,0.11332220413826563,0.014165275517283204,0.018887034023044272,0.056661102069132815,95.93204632304005,1185931,Mn6 Pt2
F,Mn2 F6,8,2.0,6.0,0.0013396452194920049,0.0001674556524365006,0.0006698226097460024,0.00022327420324866747,114.00641663224721,556560,Mn2 F6
Ga,Mn3 Ga1,4,3.0,1.0,0.07147997725289643,0.017869994313224107,0.023826659084298808,0.07147997725289643,47.77459928613463,999550,Mn3 Ga1
As,Mn6 As2,8,6.0,2.0,0.10800651723301755,0.013500814654127193,0.018001086205502923,0.05400325861650877,120.69303683944815,2668,Mn6 As2
Si,Mn40 Si16,56,40.0,16.0,0.8001320900261999,0.01428807303618214,0.020003302250654997,0.05000825562663749,649.2174044374738,608655,Mn40 Si16
O,Mn32 O48,80,32.0,48.0,0.4768574861384609,0.0059607185767307615,0.014901796441826903,0.009934530961217936,835.795225929392,510604,Mn32 O48
Ga,Mn6 Ga2,8,6.0,2.0,0.13761391500556225,0.01720173937569528,0.02293565250092704,0.06880695750278112,95.85082098552085,1078584,Mn6 Ga2
F,Mn6 F18,24,6.0,18.0,0.008455864623875237,0.0003523276926614682,0.0014093107706458728,0.0004697702568819576,277.53634515669,2011351,Mn6 F18
B,Mn3 B4,7,3.0,4.0,0.07378396965933914,0.010540567094191306,0.024594656553113048,0.018445992414834786,57.02338480560942,10118,Mn3 B4
Br,Mn4 Br8,12,4.0,8.0,0.005655645283956831,0.0004713037736630693,0.0014139113209892078,0.0007069556604946039,329.2297118408454,571084,Mn4 Br8
O,Mn12 O16,28,12.0,16.0,0.16926828240770933,0.006045295800275333,0.014105690200642444,0.010579267650481833,297.14883285574314,20141,Mn12 O16
O,Mn16 O56,72,16.0,56.0,0.011018347641799202,0.00015303260613610002,0.0006886467276124501,0.00019675620788927147,1246.6199892550596,28338,Mn16 O56
Be,Mn1 Be12,13,1.0,12.0,0.08977244420830122,0.006905572631407786,0.08977244420830122,0.007481037017358434,107.42966433298243,1104792,Mn1 Be12
P,Mn6 P24,30,6.0,24.0,0.015182266200613997,0.0005060755400204665,0.0025303777001023328,0.0006325944250255832,433.09111840049985,569522,Mn6 P24
O,Mn2 O4,6,2.0,4.0,0.019467529786166997,0.0032445882976944993,0.009733764893083498,0.004866882446541749,65.05924743853517,755671,Mn2 O4
O,Mn1 O1,2,1.0,1.0,0.004304234176907614,0.002152117088453807,0.004304234176907614,0.004304234176907614,50.12888587366657,1238773,Mn1 O1
Co,Mn6 Co2,8,6.0,2.0,0.1904707168765171,0.023808839609564637,0.03174511947941951,0.09523535843825855,103.28661199946504,1545421,Mn6 Co2
Pt,Mn1 Pt3,4,1.0,3.0,0.04768990777254864,0.01192247694313716,0.04768990777254864,0.01589663592418288,59.82070502890271,1180,Mn1 Pt3
S,Mn3 S1,4,3.0,1.0,0.06716932156728213,0.016792330391820532,0.02238977385576071,0.06716932156728213,45.82294945982847,975439,Mn3 S1
O,Mn1 O2,3,1.0,2.0,0.009771455327979595,0.0032571517759931983,0.009771455327979595,0.0048857276639897975,32.400341340861715,25424,Mn1 O2
O,Mn2 O2,4,2.0,2.0,0.02197672054137064,0.00549418013534266,0.01098836027068532,0.01098836027068532,54.159515132783966,999539,Mn2 O2
