Symbol_x,Structure,Result_1,Anion Site,Structure_SG
Al,Mn3 Al1,0.4719890193151379,0.33,Li-Al0.33
Al,Mn1 Al1,0.5545923070329708,1.0,Li-Al1.0
Al,Mn2 Al2,0.40683473420912175,1.0,Li-Al1.0
Al,Mn8 Al12,0.4918914763766508,1.5,Li-Al1.5
Al,Mn10 Al16,0.3241335115850956,1.6,Li-Al1.6
Al,Mn48 Al108,0.28408713116042017,2.25,Li-Al2.25
Al,Mn4 Al11,0.2690418902450399,2.75,Li-Al2.75
Al,Mn6 Al20,0.25069496749819314,3.33,Li-Al3.33
Al,Mn24 Al114,0.2180271987914691,4.75,Li-Al4.75
Al,Mn2 Al12,0.1798843163632113,6.0,Li-Al6.0
Al,Mn1 Al12,0.12503455901577215,12.0,Li-Al12.0
