Symbol_x,Structure,Result_1,Anion Site,Structure_SG
N,Mn4 N1,0.44938465750754664,0.25,Li-N0.25
N,Mn2 N1,0.5285937094772418,0.5,Li-N0.5
N,Mn8 N4,0.3596105366566994,0.5,Li-N0.5
N,Mn3 N2,0.5253828218340862,0.67,Li-N0.67
N,Mn3 N2,0.27844351772672865,0.67,Li-N0.67
N,Mn1 N1,0.27940088111953115,1.0,Li-N1.0
N,Mn2 N2,0.249152030374731,1.0,Li-N1.0
N,Mn1 N1,0.22355905486855215,1.0,Li-N1.0
N,Mn2 N2,0.1505199756937197,1.0,Li-N1.0
N,Mn6 N8,0.16827524810092565,1.33,Li-N1.33
N,Mn12 N16,0.09016912594439373,1.33,Li-N1.33
