cell_length,energy,E-dispersion
3.1792300701000000,0.19042089E+04,-13.35331
3.2792300701000001,0.16108458E+04,-12.15261
3.3792300701000002,0.17178552E+04,-11.15442
3.4792300700999998,0.11357485E+04,-10.17262
3.5792300700999999,0.99382781E+03,-9.35543
3.6792300701000000,0.82038220E+03,-8.64161
3.7792300701000001,0.63338274E+03,-7.96318
3.8792300701000002,0.50797309E+03,-7.37048
3.9792300700999998,0.39909023E+03,-6.83562
4.0792300701000004,0.30461999E+03,-6.35413
4.7792300700999997,-.84888599E+02,-3.91606
4.9792300700999998,-.13910303E+03,-3.44192
5.1792300701000000,-.17726390E+03,-3.04901
5.3792300701000002,-.20299274E+03,-2.72944
5.5792300701000004,-.21918167E+03,-2.46913
5.7792300700999997,-.22815117E+03,-2.24951
5.9792300700999998,-.23185771E+03,-2.05356
,,
,,
,,
,,
,,
,,
,,
,,
