cell_length,energy,E-dispersion
3.224999905,-1.13E+00,-0.40582
3.424999905,-1.89E+00,-0.30904
3.624999905,-2.36E+00,-0.25906
3.824999905,-2.64E+00,-0.24283
4.024999905,-2.78E+00,-0.24346
4.224999905,-2.81E+00,-0.24623
4.474999905,-2.76E+00,-0.24237
4.724999905,-2.62E+00,-0.22608
4.974999905,-2.44E+00,-0.21057
5.224999905,-2.53E+00,-0.48376
5.604999905,-2.48E+00,-0.75051
5.424999905,-2.64E+00,-0.73342
5.724999905,-2.32E+00,-0.66908
6.024999905,-1.91E+00,-0.49169
6.324999905,-1.56E+00,-0.35196
6.624999905,-1.27E+00,-0.25288
6.924999905,-1.02E+00,-0.18378
