cell_length,energy,E-dispersion
3.1456643052000000,-.77816143E+01,-0.52855
3.3307033818999998,-.11470096E+02,-0.44811
3.5157424587000001,-.13115607E+02,-0.38421
3.7007815355000000,-.13512092E+02,-0.32728
3.8858206122999999,-.13177928E+02,-0.27465
4.0708596889999997,-.12451155E+02,-0.22965
4.2558987657999996,-.11546844E+02,-0.19894
4.4409378426000004,-.10610587E+02,-0.19843
4.6259769193000002,-.96857220E+01,-0.19987
4.8110159961000001,-.88124946E+01,-0.19927
4.9960550728999999,-.80212918E+01,-0.19922
5.1810941496999998,-.73225611E+01,-0.20397
5.3661332263999997,-.66879682E+01,-0.20497
5.5511723032000004,-.61066740E+01,-0.19947
5.7362113800000003,-.55657397E+01,-0.18693
5.9212504568000002,-.50639648E+01,-0.16850
