cell_length,energy,E-dispersion
3.4393124579999999,-.39367121E+01,-0.12541
3.6393124580000000,-.38796094E+01,-0.11499
3.8393124580000002,-.37490704E+01,-0.10666
4.0393124580000004,-.35746064E+01,-0.09875
4.2393124579999997,-.33713810E+01,-0.08977
4.4393124579999999,-.31491808E+01,-0.08119
4.6393124580000000,-.29237974E+01,-0.07321
4.8393124580000002,-.26919097E+01,-0.06588
5.0393124580000004,-.24617985E+01,-0.05880
5.2393124579999997,-.22423118E+01,-0.05230
5.4393124579999999,-.20254288E+01,-0.04686
5.6393124580000000,-.18241399E+01,-0.04212
5.8393124580000002,-.16320689E+01,-0.03785
