cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.2562903154,5.7349,15.1391,174.9969,358.4995,-4.2234995257016E-02
2.4067096698,4.7901,12.1041,174.9969,358.4995,-3.7091884045233E-02
2.5571290241,4.3840,8.9914,174.9969,358.4995,-3.2574038970101E-02
2.7075483785,4.1856,6.7072,174.9969,358.4995,-2.8104654893882E-02
2.8579677328,4.0518,5.3672,174.9969,358.4995,-2.3985829751964E-02
3.0083870872,3.8953,4.5889,174.9969,358.4995,-2.0244145172227E-02
3.1588064416,3.6354,4.0145,174.9969,358.4995,-1.6805096244130E-02
3.3092257959,3.2028,3.4192,174.9969,358.4995,-1.3801528134381E-02
3.4596451503,2.5943,2.7234,174.9969,358.4995,-1.1363918147155E-02
3.6100645046,1.9137,1.9938,174.9990,358.4995,-9.4871054801551E-03
3.7604838590,1.3053,1.3568,175.2212,358.4925,-8.0912245821769E-03
3.9109032134,0.8486,0.8829,182.1228,358.2074,-7.1855303900131E-03
4.0613225677,0.5415,0.5650,228.5032,356.0735,-7.0728627546978E-03
4.2117419221,0.3460,0.3626,287.0996,353.6135,-7.2059912021009E-03
4.3621612764,0.2241,0.2360,313.0866,352.6811,-7.0784202950688E-03
4.5125806308,0.1479,0.1567,322.8199,352.3669,-6.8129294649915E-03
4.6629999852,0.0998,0.1064,326.9783,352.2401,-6.4230582966808E-03
4.8134193395,0.0688,0.0739,329.0283,352.1797,-5.9100477194180E-03
4.9638386939,0.0485,0.0524,330.1563,352.1471,-5.3235006787066E-03
5.1142580482,0.0348,0.0379,330.8277,352.1278,-4.7308343132277E-03
5.2646774026,0.0255,0.0279,331.2493,352.1159,-4.1822101785311E-03
5.4150967570,0.0190,0.0209,331.5294,352.1079,-3.6994362924854E-03
5.5655161113,0.0144,0.0160,331.7182,352.1026,-3.2810037101880E-03
5.7159354657,0.0111,0.0124,331.8513,352.0988,-2.9162972900779E-03
5.8663548200,0.0086,0.0097,331.9462,352.0961,-2.5914551571025E-03
6.0167741744,0.0068,0.0078,332.0157,352.0941,-2.2981891166916E-03
6.1671935288,0.0054,0.0062,332.0690,352.0926,-2.0313194062780E-03
6.3176128831,0.0044,0.0051,332.1080,352.0915,-1.7889720683643E-03
6.4680322375,0.0036,0.0042,332.1380,352.0906,-1.5711655922830E-03
6.6184515918,0.0029,0.0034,332.1627,352.0899,-1.3771390660372E-03
6.7688709462,0.0025,0.0028,332.1809,352.0893,-1.2057953027790E-03
6.9192903006,0.0021,0.0024,332.1954,352.0889,-1.0555616090029E-03
7.0697096549,0.0018,0.0021,332.2070,352.0886,-9.2446187735718E-04
7.2201290093,0.0015,0.0018,332.2164,352.0883,-8.1057677417955E-04
7.3705483636,0.0013,0.0015,332.2252,352.0880,-7.1174562170232E-04
7.5209677180,0.0011,0.0013,332.2315,352.0878,-6.2598642516238E-04
